morpheme,gloss,affix,freq
туры,OBL,suffix,16
шыкъу,OBL,suffix,5
борэн,OBL,suffix,2
капитан,OBL,suffix,11
бэ,OBL,suffix,1
майоры,OBL,suffix,3
демократие,OBL,suffix,3
класс,OBL,suffix,1
лыхьэ,OBL,suffix,1
при,OBL,suffix,3
шъокӏу,OBL,suffix,1
секретары,OBL,suffix,1
менеджеры,OBL,suffix,1
финансы,OBL,suffix,1
щыпсы,OBL,suffix,1
адмиралы,OBL,suffix,1
быжъы,OBL,suffix,1
налкъуты,OBL,suffix,1
гъэ,PST,suffix,1723004
гъ,PST,suffix,821301
гъа,PST,suffix,103570
гъ,PST,prefix,354
гъэ,PST,prefix,480
сымы,PST,suffix,17
дэмышӏэ,PST,suffix,7
къокӏэ,PST,suffix,2
жъоры,PST,suffix,1
плӏэуа,PST,suffix,1
шӏыкӏа,PST,suffix,1
жьы,PST,suffix,1
дэмышӏа,PST,suffix,2
псыи,PST,suffix,1
адмиралы,PST,suffix,1
шъокӏу,PST,suffix,2
къокӏа,PST,suffix,2
щты,PST,suffix,1
секретары,PST,suffix,1
