word,lex,gr.pos,parts,gloss,trans_ru,freq,affix
арыми,а,PRON,"['а', 'ры', 'м', 'и']","['STEM', 'PRED', 'OBL', 'ADD']",тот,132,"['root', 'suffix', 'suffix', 'suffix']"
арти,а,PRON,"['а', 'р', 'ти']","['STEM', 'ABS', 'CS']",тот,267,"['root', 'suffix', 'suffix']"
зэкӏэри,зэкӏэ,PRON,"['зэкӏэ', 'р', 'и']","['STEM', 'ABS', 'ADD']",все,1953,"['root', 'suffix', 'suffix']"
хэты,хэт,PRON,['хэты'],['STEM'],кто,77,['root']
зэкӏэмэ,зэкӏэ,PRON,"['зэкӏэ', 'мэ']","['STEM', 'OBL.PL']",все,885,"['root', 'suffix']"
адрэм,а,PRON,"['а', 'дрэ', 'м']","['STEM', 'другой', 'OBL']",тот,650,"['root', 'suffix', 'suffix']"
арэуи,а,PRON,"['а', 'рэу', 'и']","['STEM', 'ADV', 'ADD']",тот,8,"['root', 'suffix', 'suffix']"
ежьыр,ежь,PRON,"['ежьы', 'р']","['STEM', 'ABS']",сам,525,"['root', 'suffix']"
адрэхэр,а,PRON,"['а', 'дрэ', 'хэ', 'р']","['STEM', 'другой', 'PL', 'ABS']",тот,332,"['root', 'suffix', 'suffix', 'suffix']"
сэрырэ,сэ,PRON,"['сэ', 'ры', 'рэ']","['STEM', 'PRED', 'DYN']",я,890,"['root', 'suffix', 'suffix']"
хэтэрыкӏхэр,тэ,PRON,"['хэ', 'тэ', 'ры', 'кӏ', 'хэ', 'р']","['LOC', 'STEM', 'PRED', 'EL', 'PL', 'ABS']",мы,240,"['prefix', 'root', 'suffix', 'suffix', 'suffix', 'suffix']"
тыхэтэп,хэт,PRON,"['ты', 'хэт', 'эп']","['1PL.ABS', 'STEM', 'NEG']",кто,6,"['prefix', 'root', 'suffix']"
ежьхэр,ежь,PRON,"['ежь', 'хэ', 'р']","['STEM', 'PL', 'ABS']",сам,391,"['root', 'suffix', 'suffix']"
пэпчъи,пэпчъ,PRON,"['пэпчъ', 'и']","['STEM', 'ADD']",каждый,51,"['root', 'suffix']"
арымэ,а,PRON,"['а', 'ры', 'мэ']","['STEM', 'PRED', 'COND']",тот,191,"['root', 'suffix', 'suffix']"
ахэмкӏэ,а,PRON,"['а', 'хэ', 'м', 'кӏэ']","['STEM', 'PL', 'OBL', 'INS']",тот,521,"['root', 'suffix', 'suffix', 'suffix']"
шъорыкӏэ,шъо,PRON,"['шъо', 'ры', 'кӏэ']","['STEM', 'PRED', 'INS']",вы,29,"['root', 'suffix', 'suffix']"
ухэт,хэт,PRON,"['у', 'хэт']","['2SG.ABS', 'STEM']",кто,64,"['prefix', 'root']"
ахэми,а,PRON,"['а', 'хэ', 'м', 'и']","['STEM', 'PL', 'OBL', 'ADD']",тот,616,"['root', 'suffix', 'suffix', 'suffix']"
ори,о,PRON,"['о', 'ри']","['STEM', 'ADD']",ты,1596,"['root', 'suffix']"
